Query-ID	Query-Label	Lookup-ID	Lookup-Label	Embedding distance	Nearest-Neighbor-Idx
sp|Q6A6R1|RPOA_CUTAK DNA-directed RNA polymerase subunit alpha OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=rpoA PE=3 SV=1	None	Q6A6R1	RNA polymerase alpha chain family	0.0046	1
sp|Q6A8H5|RPOZ_CUTAK DNA-directed RNA polymerase subunit omega OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=rpoZ PE=3 SV=1	None	Q6A8H5	RNA polymerase subunit omega family	0.0000	1
sp|Q6A8L0|Y1157_CUTAK Probable transcriptional regulatory protein PPA1157 OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=PPA1157 PE=3 SV=1	None	A1SNI8	RNA polymerase alpha chain family	1.5497	1
sp|Q6A8Y9|NRDR_CUTAK Transcriptional repressor NrdR OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=nrdR PE=3 SV=2	None	P45684	sigma-70 factor family	1.6904	1
sp|Q6A998|HRCA_CUTAK Heat-inducible transcription repressor HrcA OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=hrcA PE=3 SV=1	None	Q6A998	HrcA family	0.0037	1
sp|Q6A9R1|MRAZ_CUTAK Transcriptional regulator MraZ OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=mraZ PE=3 SV=2	None	Q6A9R1	MraZ family	0.0047	1
tr|Q6A5C9|Q6A5C9_CUTAK Transcriptional regulator, LacI family OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=PPA2330 PE=4 SV=1	None	A0A024HKB0	LysR	1.3785	1
tr|Q6A5D3|Q6A5D3_CUTAK Putative regulatory protein, DeoR family OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=PPA2326 PE=4 SV=1	None	A0A024HKB0	LysR	1.6079	1
tr|Q6A5F1|Q6A5F1_CUTAK Transcriptional regulator OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=PPA2306 PE=3 SV=1	None	Q6AEB9	HrcA family	1.6783	1
tr|Q6A5G1|Q6A5G1_CUTAK Transcription regulator CelR OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=PPA2296 PE=4 SV=1	None	Q46M57	LysR	1.4245	1
tr|Q6A5I2|Q6A5I2_CUTAK Putative AsnC-family transcriptional regulatory protein OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=PPA2275 PE=4 SV=1	None	P55619	LysR	1.7600	1
tr|Q6A5K5|Q6A5K5_CUTAK Putative MarR-family transcriptional regulator OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=PPA2256 PE=4 SV=1	None	A7MXA8	MarR/SlyA	1.6989	1
tr|Q6A5K8|Q6A5K8_CUTAK Putative MarR-family transcriptional regulator OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=PPA2252 PE=4 SV=1	None	P9WGG4	sigma-70 factor family	1.6497	1
tr|Q6A5P2|Q6A5P2_CUTAK Transcriptional regulator (IclR family) OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=PPA2217 PE=4 SV=1	None	Q6AEB9	HrcA family	1.7086	1
tr|Q6A5Q1|Q6A5Q1_CUTAK Putative transcriptional regulator OS=Cutibacterium acnes (strain DSM 16379 _ KPA171202) OX=267747 GN=PPA2208 PE=4 SV=1	None	P96440	MarR/SlyA	2.2564	1
