Query-ID	Query-uniprot-annotation	Query-HMMER-annotation	Lookup-ID	Lookup-Label	Embedding distance	Nearest-Neighbor-Idx	Lookup-uniprot-annotation
Q6A998	Heat-inducible transcription repressor HrcA	HrcA	Q82BY5	HrcA family	0.0951	1	Heat-inducible transcription repressor HrcA
Q6A6R1	DNA-directed RNA polymerase subunit alpha	RNA_pol	Q6NJ63	RNA polymerase alpha chain family	0.0997	1	DNA-directed RNA polymerase subunit alpha
Q6A9R1	Transcriptional regulator MraZ	MraZ	Q04B78	MraZ family	0.1007	1	Transcriptional regulator MraZ
Q6A8Y2	RNA polymerase sigma factor SigA	Sigma-70	B1VXR4	sigma-70 factor family	0.1179	1	RNA polymerase principal sigma factor HrdB
Q6A8A1	RNA polymerase sigma factor	Sigma-70	Q7AKG9	sigma-70 factor family	0.1652	1	ECF RNA polymerase sigma factor SigR
Q6A7V9	Arginine repressor	ArgR family	Q6NHG5	ArgR family	0.1881	1	Arginine repressor
Q6A872	No annotation	HTH_38	P42074	RNA polymerase beta chain family	0.1949	1	DNA-directed RNA polymerase subunit gamma
Q6A965	No annotation	FUR family	Q8NNC4	Fur	0.1965	1	No annotation
Q6AAS2	No annotation	Sigma-70	Q06909	sigma-70 factor family	0.2136	1	RNA polymerase sigma factor CarQ
Q6A6A6	No annotation	LysR	P44418	LysR	0.2138	1	Hydrogen peroxide-inducible genes activator
Q6AA75	Arginine repressor	ArgR family	Q6NHG5	ArgR family	0.2548	1	Arginine repressor
Q6A8H5	DNA-directed RNA polymerase subunit omega	RNA_pol_Rpb6	Q1AVZ4	RNA polymerase subunit omega family	0.2554	1	DNA-directed RNA polymerase subunit omega
Q6A9D3	No annotation	MarR family	P52003	MarR/SlyA	0.269	1	Multidrug resistance operon repressor
Q6AB82	No annotation	Crp family	P42427	LysR	0.2701	1	HTH-type transcriptional regulator TfdT
Q6A955	No annotation	Sigma-70	Q59914	sigma-70 factor family	0.2783	1	RNA polymerase principal sigma factor HrdD
Q6A5R6	No annotation	LacI	P67668	LysR	0.2803	1	Uncharacterized HTH-type transcriptional regulator Mb2303c
Q6A7G6	No annotation	LacI family	P52659	LysR	0.2806	1	HTH-type transcriptional regulator AbaB
Q6ABP0	No annotation	ROK family	P52659	LysR	0.2871	1	HTH-type transcriptional regulator AbaB
Q6A5Z4	No annotation	Trans_reg_C	O69055	LysR	0.2914	1	Putative HTH-type transcriptional regulator protein PtxE
Q6A5G1	No annotation	LacI family	P52659	LysR	0.3019	1	HTH-type transcriptional regulator AbaB
Q6A793	No annotation	PadR	A9CJU2	MarR/SlyA	0.3033	1	No annotation
Q6A5C9	No annotation	LacI	Q46M54	LysR	0.3088	1	HTH-type transcriptional regulator TfdS
Q6AAW7	No annotation	Trans_reg_C	P9WMF6	LysR	0.3088	1	Uncharacterized HTH-type transcriptional regulator MT0391
Q6AA58	No annotation	LacI family	P67668	LysR	0.3125	1	Uncharacterized HTH-type transcriptional regulator Mb2303c
Q6A765	No annotation	RpiR	P44876	LysR	0.3143	1	Uncharacterized HTH-type transcriptional regulator HI_0775
Q6A7R0	No annotation	LacI family	P52659	LysR	0.3147	1	HTH-type transcriptional regulator AbaB
Q6A645	No annotation	LacI	P43160	LysR	0.3235	1	Small neutral protease regulatory protein
Q6A949	No annotation	GntR family	P67668	LysR	0.3296	1	Uncharacterized HTH-type transcriptional regulator Mb2303c
Q6A7Z8	No annotation	IclR	P67668	LysR	0.3352	1	Uncharacterized HTH-type transcriptional regulator Mb2303c
Q6A966	No annotation	luxR family	P42427	LysR	0.3379	1	HTH-type transcriptional regulator TfdT
Q6A5K5	No annotation	MarR family	A7MXA8	MarR/SlyA	0.3386	1	PadR family transcriptional regulator
Q6A671	No annotation	LuxR family	O69055	LysR	0.3428	1	Putative HTH-type transcriptional regulator protein PtxE
Q6A7V8	No annotation	TetR family	P42427	LysR	0.3435	1	HTH-type transcriptional regulator TfdT
Q6AAD5	No annotation		Q87L53	MarR/SlyA	0.3443	1	Transcriptional regulator
Q6A5D3	No annotation	DeoR	Q52838	LysR	0.3447	1	Nodulation protein D 1
Q6ABK0	No annotation	DeoR	C6BU59	transcriptional regulatory Rex family	0.3534	1	Redox-sensing transcriptional repressor Rex
Q6A795	No annotation	MarR family	P52003	MarR/SlyA	0.3536	1	Multidrug resistance operon repressor
Q6ABR9	No annotation	LuxR family	P52675	LysR	0.3583	1	HTH-type transcriptional regulator CysB
Q6AAR7	No annotation	ROK family	Q8RQM5	LysR	0.3617	1	Lysine export transcriptional regulatory protein LysG
Q6A9D2	No annotation	Sigma-70	Q9X1E1	transcriptional regulatory Rex family	0.3619	1	Redox-sensing transcriptional repressor Rex 2
Q6ABI8	No annotation	Trans_reg_C	P42427	LysR	0.3622	1	HTH-type transcriptional regulator TfdT
Q6A8F0	No annotation	MarR family	P52659	LysR	0.363	1	HTH-type transcriptional regulator AbaB
Q6ABT6	No annotation	DeoR	C6BU59	transcriptional regulatory Rex family	0.3639	1	Redox-sensing transcriptional repressor Rex
Q6A6D9	No annotation	ROK family	P52659	LysR	0.3644	1	HTH-type transcriptional regulator AbaB
Q6AAP9	No annotation	luxR family	P67666	LysR	0.3644	1	HTH-type transcriptional regulator LysG
